Articulo,Descripcion de articulo,Precio de venta
45973,Karameladas Pop 1p 120g FLOW BAR,533.0
128942,Takis Blue Heat 1p 56g FLOW BAR EXP,0.27
127436,Takis Fuego NE 1p 65g FLOW BAR,435.4
514879,Chips Habanero 1p 36g FLOW BAR EXP,11.45
128941,Takis Blue Heat 1p 90g FLOW BAR EXP,16.8
128940,Takis Blue Heat 1p 190g FLOW BAR EXP,11.26
125030,Big Mix Fuego 1p 185g FLOW BAR,8.46
514881,Chips Habanero 1p 170g FLOW BAR EXP,8.8
514929,Runners Limon Sal 1p 72g FLOW BAR,116.2
514840,Takis Fuego 42p 50g FLOW BAR EXP,9.66
514882,Takis Blue Heat 42p 50g FLOW BAR EXP,8.82
515069,Takis Blue Heat 20p 185g FLOW BAR EXP,12.6
515122,Chips Jalapeno 1p 62g CP FLOW BAR,544.6
515120,Chips Fuego 1p 62g CP FLOW BAR,544.6
515123,Chips Sal 1p 62g CP FLOW BAR,544.6
514976,Golden Nuts Fuego 1p 78g PC FLOW BAR,653.52
514913,Takis Blue Heat 1p 70g FLOW BAR,490.0
514926,Runners Blue Heat 1p 72g FLOW BAR,571.83
514867,Runners Original 1p 72g FLOW BAR,571.83
514855,Kiyakis 1p 60g FLOW BAR,497.92
514949,GoldenNuts Salado 1p 78g CF FLOW BAR,653.52
514950,GoldenNuts Enchilado 1p 78g CF FLOW BAR,653.52
514866,Runners Fuego 1p 72g FLOW BAR,571.83
514846,Chipotles 1p 65g FLOW BAR,420.12
514859,Papas Barcel Adobo 1p 45g FLOW BAR,466.8
514863,Papas Barcel Sal 1p 45g FLOW BAR,466.8
514865,Papas Barcel Toreadas 1p 45g FLOW BAR,466.8
128814,Takis Blue Heat 1p 75g FLOW BAR,661.08
128504,Papas Barcel Toreadas PC 1p 170g FLOW BAR,447.96
128729,Papas Barcel Toreadas PC SP 1p 170g FLOW BAR,493.8
128430,Big Mix Queso Nvo 1p 75g FLOW BAR,223.92
128431,Big Mix Fuego Nvo 1p 75g FLOW BAR,223.92
128432,Big Mix Inglesa Limon 1p 75g FLOW BAR,223.92
